web_scraper_order,web_scraper_start_url,pagination,Price,item_type,adress,image_link
"1772022891-1","https://sn.coinafrique.com/categorie/chaussures-homme","","10 000CFA","Chaussures  homme","Medina, Dakar, Sénégal","https://images.coinafrique.com/thumb_5791410_uploaded_image1_1772001657.jpg"
"1772022891-2","https://sn.coinafrique.com/categorie/chaussures-homme","","27 000CFA","Chaussures Prada","Dakar, Sénégal","https://images.coinafrique.com/thumb_5774787_uploaded_image1_1771102876.jpg"
"1772022891-3","https://sn.coinafrique.com/categorie/chaussures-homme","","22 500CFA","Chaussures homme","Fass, Dakar, Sénégal","https://images.coinafrique.com/thumb_5749905_uploaded_image1_1769782261.jpg"
"1772022891-4","https://sn.coinafrique.com/categorie/chaussures-homme","","20 000CFA","Chaussures homme","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_5788794_uploaded_image1_1771855559.jpg"
"1772022891-5","https://sn.coinafrique.com/categorie/chaussures-homme","","15 000CFA","Sandales homme","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_5788789_uploaded_image1_1771855394.jpg"
"1772022891-6","https://sn.coinafrique.com/categorie/chaussures-homme","","15 000CFA","Ensemble chemises et pantalons kaki","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_5788787_uploaded_image1_1771855309.jpg"
"1772022891-7","https://sn.coinafrique.com/categorie/chaussures-homme","","15 000CFA","Crocs Bape","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_5787454_uploaded_image1_1771773206.jpg"
"1772022891-8","https://sn.coinafrique.com/categorie/chaussures-homme","","25 000CFA","Chaussures  homme","Dakar, Sénégal","https://images.coinafrique.com/thumb_5771502_uploaded_image1_1770903126.jpg"
"1772022891-9","https://sn.coinafrique.com/categorie/chaussures-homme","","20 000CFA","Chaussures  homme","Dakar, Sénégal","https://images.coinafrique.com/thumb_5771511_uploaded_image1_1770903306.jpg"
"1772022891-10","https://sn.coinafrique.com/categorie/chaussures-homme","","25 000CFA","Chaussures  homme","Dakar, Sénégal","https://images.coinafrique.com/thumb_5771496_uploaded_image1_1770903006.jpg"
"1772022891-11","https://sn.coinafrique.com/categorie/chaussures-homme","","25 000CFA","Chaussures  homme","Dakar, Sénégal","https://images.coinafrique.com/thumb_5771489_uploaded_image1_1770902889.jpg"
"1772022891-12","https://sn.coinafrique.com/categorie/chaussures-homme","","25 000CFA","Chaussures  homme","Dakar, Sénégal","https://images.coinafrique.com/thumb_5771479_uploaded_image1_1770902639.jpg"
"1772022891-13","https://sn.coinafrique.com/categorie/chaussures-homme","","25 000CFA","Chaussures  homme","Dakar, Sénégal","https://images.coinafrique.com/thumb_5771468_uploaded_image1_1770902125.jpg"
"1772022891-14","https://sn.coinafrique.com/categorie/chaussures-homme","","25 000CFA","Nike P6000","Dakar, Sénégal","https://images.coinafrique.com/thumb_5771410_uploaded_image1_1770900442.jpg"
"1772022891-15","https://sn.coinafrique.com/categorie/chaussures-homme","","25 000CFA","Chaussures  homme","Dakar, Sénégal","https://images.coinafrique.com/thumb_5771415_uploaded_image1_1770900566.jpg"
"1772022891-16","https://sn.coinafrique.com/categorie/chaussures-homme","","25 000CFA","Chaussures  homme","Dakar, Sénégal","https://images.coinafrique.com/thumb_5771406_uploaded_image1_1770900318.jpg"
"1772022891-17","https://sn.coinafrique.com/categorie/chaussures-homme","","25 000CFA","Chaussures  homme","Dakar, Sénégal","https://images.coinafrique.com/thumb_5771400_uploaded_image1_1770900243.jpg"
"1772022891-18","https://sn.coinafrique.com/categorie/chaussures-homme","","25 000CFA","Chaussures  homme","Dakar, Sénégal","https://images.coinafrique.com/thumb_5771387_uploaded_image1_1770899906.jpg"
"1772022891-19","https://sn.coinafrique.com/categorie/chaussures-homme","","23 000CFA","Chaussures  homme","Dakar, Sénégal","https://images.coinafrique.com/thumb_5771394_uploaded_image1_1770900035.jpg"
"1772022891-20","https://sn.coinafrique.com/categorie/chaussures-homme","","23 000CFA","Chaussures  homme","Dakar, Sénégal","https://images.coinafrique.com/thumb_5771368_uploaded_image1_1770899493.jpg"
"1772022891-21","https://sn.coinafrique.com/categorie/chaussures-homme","","23 000CFA","Chaussures  homme","Dakar, Sénégal","https://images.coinafrique.com/thumb_5771379_uploaded_image1_1770899713.jpg"
"1772022891-22","https://sn.coinafrique.com/categorie/chaussures-homme","","9 000CFA","Vêtements homme","Dakar, Sénégal","https://images.coinafrique.com/thumb_5786720_uploaded_image1_1771716679.jpg"
"1772022891-23","https://sn.coinafrique.com/categorie/chaussures-homme","","7 500CFA","Chaussures  homme","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_5784030_uploaded_image1_1771586629.jpg"
"1772022891-24","https://sn.coinafrique.com/categorie/chaussures-homme","","20 000CFA","Yeezy foam","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_5782019_uploaded_image1_1771503299.jpg"
"1772022891-25","https://sn.coinafrique.com/categorie/chaussures-homme","","12 000CFA","Crocs homme","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_5782015_uploaded_image1_1771503221.jpg"
"1772022891-26","https://sn.coinafrique.com/categorie/chaussures-homme","","12 000CFA","Crocs homme","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_5782011_uploaded_image1_1771503146.jpg"
"1772022891-27","https://sn.coinafrique.com/categorie/chaussures-homme","","1 300CFA","Chaussures homme en cuir","Medina, Dakar, Sénégal","https://images.coinafrique.com/thumb_5777594_uploaded_image1_1771289196.jpg"
"1772022891-28","https://sn.coinafrique.com/categorie/chaussures-homme","","30 000CFA","Sneaker","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_5777043_uploaded_image1_1771263740.jpg"
"1772022891-29","https://sn.coinafrique.com/categorie/chaussures-homme","","15 000CFA","Chaussures homme","Dakar, Sénégal","https://images.coinafrique.com/thumb_5774677_uploaded_image1_1771092238.jpg"
"1772022891-30","https://sn.coinafrique.com/categorie/chaussures-homme","","15 000CFA","Chaussures homme","Medina, Dakar, Sénégal","https://images.coinafrique.com/thumb_5773520_uploaded_image1_1771005361.jpg"
"1772022891-31","https://sn.coinafrique.com/categorie/chaussures-homme","","140 000CFA","Chaussures Hermès","Medina, Dakar, Sénégal","https://images.coinafrique.com/thumb_5773512_uploaded_image1_1771005158.jpg"
"1772022891-32","https://sn.coinafrique.com/categorie/chaussures-homme","","35 000CFA","Chaussures homme","Dakar, Sénégal","https://images.coinafrique.com/thumb_5771824_uploaded_image1_1770916012.jpg"
"1772022891-33","https://sn.coinafrique.com/categorie/chaussures-homme","","30 000CFA","Chaussures  homme","Dakar, Sénégal","https://images.coinafrique.com/thumb_5771821_uploaded_image1_1770915923.jpg"
